Item_Id,Date,High,Low,Close
AMZN,2017-01-03,758.760009765625,747.7000122070312,753.6699829101562
AMZN,2017-01-04,759.6799926757812,754.2000122070312,757.1799926757812
AMZN,2017-01-05,782.4000244140625,760.260009765625,780.4500122070312
AMZN,2017-01-06,799.4400024414062,778.47998046875,795.989990234375
AMZN,2017-01-07,799.4400024414062,778.47998046875,795.989990234375
AMZN,2017-01-08,799.4400024414062,778.47998046875,795.989990234375
AMZN,2017-01-09,801.77001953125,791.77001953125,796.9199829101562
AMZN,2017-01-10,798.0,789.5399780273438,795.9000244140625
AMZN,2017-01-11,799.5,789.510009765625,799.02001953125
AMZN,2017-01-12,814.1300048828125,799.5,813.6400146484375
AMZN,2017-01-13,821.6500244140625,811.4000244140625,817.1400146484375
AMZN,2017-01-14,821.6500244140625,811.4000244140625,817.1400146484375
AMZN,2017-01-15,821.6500244140625,811.4000244140625,817.1400146484375
AMZN,2017-01-16,821.6500244140625,811.4000244140625,817.1400146484375
AMZN,2017-01-17,816.0,803.4400024414062,809.719970703125
AMZN,2017-01-18,811.72998046875,804.27001953125,807.47998046875
AMZN,2017-01-19,813.510009765625,807.3200073242188,809.0399780273438
AMZN,2017-01-20,816.02001953125,806.260009765625,808.3300170898438
AMZN,2017-01-21,816.02001953125,806.260009765625,808.3300170898438
AMZN,2017-01-22,816.02001953125,806.260009765625,808.3300170898438
AMZN,2017-01-23,818.5,805.0800170898438,817.8800048828125
AMZN,2017-01-24,823.989990234375,814.5,822.4400024414062
AMZN,2017-01-25,837.4199829101562,825.2899780273438,836.52001953125
AMZN,2017-01-26,843.8400268554688,833.0,839.1500244140625
AMZN,2017-01-27,839.7000122070312,829.4400024414062,835.77001953125
AMZN,2017-01-28,839.7000122070312,829.4400024414062,835.77001953125
AMZN,2017-01-29,839.7000122070312,829.4400024414062,835.77001953125
AMZN,2017-01-30,833.5,816.3800048828125,830.3800048828125
AMZN,2017-01-31,826.989990234375,819.5599975585938,823.47998046875
AMZN,2017-02-01,833.780029296875,824.9400024414062,832.3499755859375
AMZN,2017-02-02,842.489990234375,828.260009765625,839.9500122070312
AMZN,2017-02-03,818.2999877929688,804.0,810.2000122070312
AMZN,2017-02-04,818.2999877929688,804.0,810.2000122070312
AMZN,2017-02-05,818.2999877929688,804.0,810.2000122070312
AMZN,2017-02-06,810.719970703125,803.0,807.6400146484375
AMZN,2017-02-07,816.1599731445312,807.5,812.5
AMZN,2017-02-08,821.47998046875,812.5,819.7100219726562
AMZN,2017-02-09,825.0,819.7100219726562,821.3599853515625
AMZN,2017-02-10,828.0,822.8499755859375,827.4600219726562
AMZN,2017-02-11,828.0,822.8499755859375,827.4600219726562
AMZN,2017-02-12,828.0,822.8499755859375,827.4600219726562
AMZN,2017-02-13,843.0,828.5499877929688,836.530029296875
AMZN,2017-02-14,838.3099975585938,831.4500122070312,836.3900146484375
AMZN,2017-02-15,842.8099975585938,832.8200073242188,842.7000122070312
AMZN,2017-02-16,845.0,839.3800048828125,844.1400146484375
AMZN,2017-02-17,847.27001953125,840.72998046875,845.0700073242188
AMZN,2017-02-18,847.27001953125,840.72998046875,845.0700073242188
AMZN,2017-02-19,847.27001953125,840.72998046875,845.0700073242188
AMZN,2017-02-20,847.27001953125,840.72998046875,845.0700073242188
AMZN,2017-02-21,857.97998046875,847.25,856.4400024414062
AMZN,2017-02-22,858.4299926757812,852.1799926757812,855.6099853515625
AMZN,2017-02-23,860.8599853515625,848.0,852.1900024414062
AMZN,2017-02-24,845.8099975585938,837.75,845.239990234375
AMZN,2017-02-25,845.8099975585938,837.75,845.239990234375
AMZN,2017-02-26,845.8099975585938,837.75,845.239990234375
AMZN,2017-02-27,852.5,839.6699829101562,848.6400146484375
AMZN,2017-02-28,854.0900268554688,842.0499877929688,845.0399780273438
AMZN,2017-03-01,854.8300170898438,849.010009765625,853.0800170898438
AMZN,2017-03-02,854.8200073242188,847.280029296875,848.9099731445312
AMZN,2017-03-03,851.989990234375,846.27001953125,849.8800048828125
AMZN,2017-03-04,851.989990234375,846.27001953125,849.8800048828125
AMZN,2017-03-05,851.989990234375,846.27001953125,849.8800048828125
AMZN,2017-03-06,848.489990234375,841.1199951171875,846.6099853515625
AMZN,2017-03-07,848.4600219726562,843.75,846.02001953125
AMZN,2017-03-08,853.0700073242188,846.7899780273438,850.5
AMZN,2017-03-09,856.4000244140625,850.3099975585938,853.0
AMZN,2017-03-10,857.3499755859375,851.719970703125,852.4600219726562
AMZN,2017-03-11,857.3499755859375,851.719970703125,852.4600219726562
AMZN,2017-03-12,857.3499755859375,851.719970703125,852.4600219726562
AMZN,2017-03-13,855.6900024414062,851.7100219726562,854.5900268554688
AMZN,2017-03-14,853.75,847.5499877929688,852.530029296875
AMZN,2017-03-15,854.4500122070312,847.1099853515625,852.969970703125
AMZN,2017-03-16,855.5,850.510009765625,853.4199829101562
AMZN,2017-03-17,853.8300170898438,850.6400146484375,852.3099975585938
AMZN,2017-03-18,853.8300170898438,850.6400146484375,852.3099975585938
